 # structure-id | smallest sepn
   1    2.42500    3.42947    2.42500    3.42947
   2    1.89849    2.79218    1.89849    2.79457
   3    1.88692    2.78584    1.88692    2.74859
   4    1.87418    2.78614    1.87418    2.74159
   5    1.88830    2.79731    1.88830    2.77184
   6    1.93910    2.80669    1.93910    2.85458
   7    1.95504    2.80449    1.95504    2.92836
   8    1.95648    2.79771    1.95648    2.91227
   9    1.94867    2.78778    1.94867    2.85683
  10    1.90372    2.78616    1.90372    2.82926
  11    1.90201    2.78372    1.90201    2.84881
  12    1.90568    2.78940    1.90568    2.89572
  13    1.93755    2.80638    1.93755    2.85985
  14    2.00122    2.83833    2.00122    2.87155
  15    2.01010    2.87257    2.01010    2.75975
  16    1.93930    2.88642    1.93930    2.57284
  17    1.90199    2.83191    1.90199    2.42991
  18    1.91476    2.78201    1.91476    2.33132
  19    1.92337    2.73873    1.92337    2.29299
  20    1.93414    2.70262    1.93414    2.29480
  21    1.88564    2.68486    1.88564    2.33964
  22    1.80075    2.68009    1.80075    2.40575
  23    1.78353    2.69332    1.78353    2.47907
  24    1.83785    2.71439    1.83785    2.57244
  25    1.95756    2.73385    1.95756    2.67516
  26    2.04732    2.76697    2.04732    2.79063
  27    2.04546    2.81092    2.04546    2.83058
  28    2.04462    2.86210    2.04462    2.92292
  29    1.99720    2.92170    1.99720    2.86854
  30    1.98617    2.98034    1.98617    2.86185
  31    1.94213    2.97418    1.94213    2.85245
  32    1.92978    2.90751    1.92978    2.75917
  33    1.96815    2.84454    1.96815    2.72189
  34    1.93569    2.79118    1.93569    2.73501
  35    1.90069    2.74874    1.90069    2.72704
  36    1.88293    2.71282    1.88293    2.74763
  37    1.93969    2.68893    1.93969    2.76000
  38    1.93584    2.68263    1.93584    2.76152
  39    1.94500    2.68511    1.94500    2.68705
  40    1.91009    2.69870    1.91009    2.60959
  41    1.92156    2.73125    1.92156    2.54995
  42    1.94883    2.78124    1.94883    2.52155
  43    1.93816    2.84253    1.93816    2.52216
  44    1.96303    2.90859    1.96303    2.55648
  45    2.03267    2.98284    2.03267    2.61827
  46    1.97706    3.01130    1.97706    2.69058
  47    1.94222    2.98884    1.94222    2.61980
  48    1.94510    2.96595    1.94510    2.58128
  49    1.86343    2.93219    1.86343    2.56702
  50    1.85171    2.89719    1.85171    2.59249
  51    1.92115    2.86326    1.92115    2.65513
  52    1.96727    2.84778    1.96727    2.65953
  53    1.90807    2.85060    1.90807    2.69667
  54    1.89648    2.85140    1.89648    2.75844
  55    1.89675    2.85416    1.89675    2.77549
  56    1.85972    2.85923    1.85972    2.79682
  57    1.87054    2.87534    1.87054    2.80773
  58    1.89177    2.88771    1.89177    2.84341
  59    1.90912    2.88485    1.90912    2.83337
  60    1.82243    2.89631    1.82243    2.80571
  61    1.80583    2.91620    1.80583    2.81545
  62    1.84784    2.94276    1.84784    2.80715
  63    1.92424    2.92757    1.92424    2.75618
  64    1.84580    2.89437    1.84580    2.72843
  65    1.83613    2.87372    1.83613    2.74908
  66    1.89386    2.86513    1.89386    2.70676
  67    1.88085    2.86598    1.88085    2.69223
  68    1.82347    2.86657    1.82347    2.70971
  69    1.85274    2.87640    1.85274    2.77946
  70    1.89191    2.90000    1.89191    2.81941
  71    1.90722    2.93483    1.90722    2.78501
  72    1.85569    2.98207    1.85569    2.77369
  73    1.82954    2.98852    1.82954    2.79500
  74    1.87809    2.97165    1.87809    2.85630
  75    1.97260    2.96631    1.97260    2.80534
  76    1.97566    2.96767    1.97566    2.77677
  77    1.96137    2.98098    1.96137    2.78683
  78    1.87056    2.99828    1.87056    2.71842
  79    1.85379    3.01076    1.85379    2.65967
  80    1.89955    2.95783    1.89955    2.65275
  81    1.92350    2.91400    1.92350    2.68697
  82    1.89864    2.88428    1.89864    2.69099
  83    1.89581    2.87515    1.89581    2.76460
